N,P,K,temperature,humidity,ph,rainfall,label
68,49,44,31.29095936,57.5048551,5.24,599.2957704,Jowar(Sorghum)
87,57,40,27.91560685,50.00280364,5.92,739.5539065,Jowar(Sorghum)
97,50,37,31.44162633,55.82988807,5.59,977.1529271,Jowar(Sorghum)
70,45,41,30.00068344,51.02369345,5.93,741.4274472,Jowar(Sorghum)
83,48,45,30.23162608,54.28148571,5.27,894.9454439,Jowar(Sorghum)
72,57,45,29.9640761,59.54322984,5.99,574.5429714,Jowar(Sorghum)
69,47,36,27.69284892,58.70924209,5.98,550.2111236,Jowar(Sorghum)
83,44,37,28.28523595,54.4123666,5.34,715.3004337,Jowar(Sorghum)
87,54,45,30.52992208,54.0814597,5.3,950.6844642,Jowar(Sorghum)
66,51,37,31.23918459,52.07575139,5.27,856.4877258,Jowar(Sorghum)
75,55,35,31.76099824,56.30471237,5.48,622.2030836,Jowar(Sorghum)
78,58,38,30.60104796,59.92830945,5.87,798.1282969,Jowar(Sorghum)
60,60,42,31.60604297,54.97153368,5.57,754.682879,Jowar(Sorghum)
61,54,42,28.9159008,50.39832856,5.49,866.7744044,Jowar(Sorghum)
72,43,39,28.74640316,54.94189491,5.69,930.4981143,Jowar(Sorghum)
94,37,43,30.21462558,58.3431064,5.73,511.9289569,Jowar(Sorghum)
85,43,44,27.71936523,50.52067792,5.68,941.6872761,Jowar(Sorghum)
91,60,40,28.61474717,50.03177321,5.31,883.3796401,Jowar(Sorghum)
63,52,39,31.69908007,54.00395639,5.46,922.6231239,Jowar(Sorghum)
91,58,39,28.71321199,54.95829607,5.5,545.4116167,Jowar(Sorghum)
65,44,39,29.69407295,58.29885777,5.85,806.159533,Jowar(Sorghum)
74,49,42,27.46098583,53.6332704,5.6,742.6659138,Jowar(Sorghum)
95,44,45,30.15455912,55.8800635,5.5,602.1891737,Jowar(Sorghum)
77,60,38,27.03541088,50.79708465,5.15,726.7454877,Jowar(Sorghum)
85,37,38,30.48669628,59.18300669,5.83,460.8260493,Jowar(Sorghum)
75,59,39,29.6478481,57.92461867,5.29,728.2464559,Jowar(Sorghum)
62,49,42,28.92568273,53.73075367,5.01,545.7773088,Jowar(Sorghum)
81,38,45,29.39850015,52.91146491,5.31,921.0897196,Jowar(Sorghum)
78,58,45,29.94555072,54.07301864,5.16,807.1661329,Jowar(Sorghum)
99,55,45,29.35008239,51.51880078,5.18,772.0947845,Jowar(Sorghum)
95,57,43,27.15137866,54.85203289,5.3,591.0506687,Jowar(Sorghum)
63,43,43,31.04977453,50.93214248,5.91,494.624496,Jowar(Sorghum)
63,46,42,31.72146112,54.04994294,5.26,749.3853769,Jowar(Sorghum)
80,42,41,28.1281274,51.3776109,5.08,791.7052883,Jowar(Sorghum)
88,41,37,28.6968003,52.00915796,5.07,658.1221341,Jowar(Sorghum)
76,36,43,30.48577049,53.14600537,5.4,845.6005056,Jowar(Sorghum)
90,59,38,31.5374741,58.81867315,5.89,613.3054659,Jowar(Sorghum)
90,36,38,30.90632451,57.42378539,5.38,583.4223115,Jowar(Sorghum)
73,42,42,28.17689004,55.25670589,5.13,954.2397266,Jowar(Sorghum)
94,40,37,29.79721006,55.36995711,5.28,676.5915832,Jowar(Sorghum)
71,38,43,27.4065885,57.35597271,5.72,725.8698784,Jowar(Sorghum)
82,43,40,30.70241083,50.90618574,5.76,476.6714808,Jowar(Sorghum)
91,36,44,31.51116805,56.60576121,5.77,625.9296568,Jowar(Sorghum)
81,46,41,30.90141987,51.61556505,5.51,605.419955,Jowar(Sorghum)
55,75,33,23.93976389,80.13086677,5.23,502.2494828,Sunflower
32,72,32,20.65146492,81.94952425,5.45,605.0638793,Sunflower
61,65,33,23.53997979,66.43832811,5.71,512.0364996,Sunflower
43,80,34,24.64335614,81.2866098,5.05,634.2344411,Sunflower
60,62,34,23.96788767,56.47021183,5.21,566.0353093,Sunflower
68,68,35,20.70672711,65.0505226,5.27,597.1644372,Sunflower
48,65,28,24.15314735,84.15490106,5.44,568.2553625,Sunflower
35,69,26,21.5492376,72.33862976,5.42,530.2543279,Sunflower
44,57,30,21.00099297,71.23065865,5.33,577.7343244,Sunflower
62,79,28,23.46109749,71.51652659,5.24,679.6900683,Sunflower
34,68,28,23.91831946,78.05073259,5.29,657.0428574,Sunflower
40,77,25,23.23387676,76.56763119,5.69,641.8982136,Sunflower
49,80,34,24.09824336,53.55652438,5.1,580.758322,Sunflower
65,59,26,23.6503749,50.47624015,5.76,517.9001256,Sunflower
63,76,29,24.23419727,62.94535699,5.73,639.8208091,Sunflower
70,59,35,21.9377026,84.10714998,5.29,544.3977726,Sunflower
30,72,25,24.8786866,55.59036205,5.28,606.437801,Sunflower
69,65,29,21.72159363,50.09047025,5.72,637.1870849,Sunflower
42,76,26,21.0437634,74.32710833,5.47,520.1244161,Sunflower
30,72,27,21.77856969,66.92327527,5.08,656.809007,Sunflower
70,76,25,20.29994993,65.51324293,5.01,679.0031963,Sunflower
31,59,28,21.54321139,69.71285117,5.43,598.6946103,Sunflower
40,59,33,24.51891174,58.36746488,5.52,517.3214557,Sunflower
44,58,33,24.44179315,81.38581594,5.81,642.7224429,Sunflower
59,76,33,22.28444034,60.97748993,5.44,626.5315814,Sunflower
59,59,27,24.5770862,67.19331597,5.24,665.8872485,Sunflower
62,79,35,23.75126135,71.77938917,5.08,651.3490785,Sunflower
56,77,34,23.58096581,70.3908028,5.29,661.3374069,Sunflower
56,73,30,21.73682043,69.36891851,6.0,670.7085222,Sunflower
46,68,31,20.02444626,82.58147339,5.02,608.5114742,Sunflower
50,68,34,21.50682303,81.90896788,5.44,577.3632849,Sunflower
37,67,29,24.2631654,69.54559814,5.79,695.3220848,Sunflower
60,69,33,24.54047237,51.07859417,5.34,609.844706,Sunflower
69,60,26,22.28842131,50.86872747,5.52,515.7750899,Sunflower
55,61,32,24.67546207,51.10617875,5.86,596.0363603,Sunflower
57,62,30,23.87738304,64.18896039,5.61,599.1465941,Sunflower
58,62,25,24.48772207,56.72554213,5.76,558.4183972,Sunflower
32,75,35,23.30977672,74.3507901,5.27,632.3975439,Sunflower
50,58,29,23.86419167,80.32942109,5.33,611.9395362,Sunflower
64,79,33,23.77150665,70.9859573,5.61,607.3509245,Sunflower
47,65,31,21.92386777,80.23195768,5.21,574.2097514,Sunflower
32,77,25,24.0318859,71.48270483,5.93,632.3708112,Sunflower
53,77,26,22.69597277,52.12674899,5.67,651.352417,Sunflower
34,58,31,23.33968978,55.10074572,5.26,684.5453566,Sunflower
39,76,29,23.35994687,64.14191091,5.35,643.757009,Sunflower
55,77,34,24.16959096,56.63700183,5.48,551.8005877,Sunflower
68,79,31,23.86627449,59.63839422,5.69,616.3334016,Sunflower
45,59,26,22.63584797,60.4675311,5.93,541.1326729,Sunflower
48,68,27,21.52719997,67.53040601,5.76,594.915572,Sunflower
55,65,30,23.75434604,65.29168148,5.39,675.8719807,Sunflower
34,78,32,20.94274035,67.35541489,5.87,553.4196443,Sunflower
56,78,32,24.28833516,75.86961702,5.12,629.4713342,Sunflower
32,60,34,23.55932509,60.93672063,5.14,677.53642,Sunflower
50,66,29,22.34037399,60.88705937,5.91,506.1016986,Sunflower
32,60,33,22.06735304,74.18483971,5.69,631.1011913,Sunflower
48,80,35,21.22474645,58.06337604,5.97,586.7721466,Sunflower
38,75,27,24.87281211,84.40341966,5.05,579.1622316,Sunflower
42,62,35,20.33569841,66.05412657,5.9,561.6635556,Sunflower
66,60,25,20.60514518,78.6437449,5.62,561.0895031,Sunflower
62,55,35,21.80016026,64.41915168,5.31,640.0580585,Sunflower
35,63,26,23.145411,52.02404554,5.77,538.2473953,Sunflower
67,78,28,20.52755562,67.25631164,5.18,514.4082979,Sunflower
34,71,30,21.59293506,68.14643829,5.85,534.1593274,Sunflower
47,72,30,24.69158419,77.44667381,5.88,605.2598945,Sunflower
62,69,35,20.28875576,53.3603464,5.3,619.1768757,Sunflower
55,76,27,22.36106862,72.55621946,5.37,571.6710024,Sunflower
53,62,27,23.1658155,60.67007673,5.58,644.8358724,Sunflower
36,78,35,23.69332156,78.03227449,5.78,670.2833272,Sunflower
38,57,29,21.05257779,55.76982984,5.03,550.4995387,Sunflower
47,56,26,21.18090921,56.60519251,5.43,540.7272611,Sunflower
44,76,32,20.25249594,77.6251423,5.39,513.2505216,Sunflower
30,77,34,22.08055849,76.65111043,5.77,577.9877344,Sunflower
55,59,33,22.02378305,57.19411995,5.68,627.5728503,Sunflower
39,68,30,23.24987766,56.9150875,5.38,556.5556103,Sunflower
65,75,33,24.43533051,79.53557338,5.57,666.8211535,Sunflower
42,62,34,23.93779636,66.52498974,5.77,515.3085357,Sunflower
33,76,31,24.3838735,76.47010395,5.17,657.4203612,Sunflower
47,57,29,21.88479313,69.12605757,5.37,548.6460834,Sunflower
35,60,31,21.27606045,80.59807118,5.41,505.3346471,Sunflower
33,55,33,21.30420192,84.65824047,5.61,621.5880238,Sunflower
60,77,34,21.74766404,62.90537591,5.12,535.8534373,Sunflower
56,73,30,23.36246126,63.50408096,5.47,535.3456771,Sunflower
42,73,28,23.5916705,62.15646569,5.02,695.8024689,Sunflower
66,77,25,22.69099712,74.63436063,5.79,552.3596952,Sunflower
33,67,30,24.27590709,84.78936045,5.36,576.680691,Sunflower
61,69,32,20.0034624,82.66057522,5.93,639.3631202,Sunflower
39,80,26,20.48968712,65.57024688,5.13,572.2968722,Sunflower
70,60,29,24.07638243,73.25813349,5.13,527.6208221,Sunflower
58,55,31,23.81068864,65.2219631,5.69,524.2408272,Sunflower
54,57,28,23.38903572,63.78662617,5.74,600.6831066,Sunflower
49,71,26,22.87716779,78.87753011,5.15,572.6863034,Sunflower
56,70,35,21.71461489,52.78415243,5.55,501.1050461,Sunflower
46,56,33,20.20342902,68.53773751,5.03,585.355592,Sunflower
43,66,27,22.10153051,59.26201473,5.2,589.583578,Sunflower
36,70,29,20.90211367,69.01670964,5.02,618.3719783,Sunflower
37,78,25,23.7524544,75.80830283,5.71,644.8559328,Sunflower
37,58,30,20.20146865,68.45752485,5.84,525.4904622,Sunflower
42,74,30,24.95153768,63.12374847,5.06,518.790598,Sunflower
31,58,33,22.87270088,84.4583487,5.05,687.8644799,Sunflower
62,62,28,21.69301634,62.57767271,5.7,604.7210302,Sunflower
56,50,40,22.75781137,34.36326224,5.739999999999999,824.5790797,Barley(JAV)
79,44,47,23.98893152,26.17746546,5.869999999999999,894.6985894,Barley(JAV)
65,44,48,22.01344788,42.06527435,5.59,805.9826687,Barley(JAV)
69,37,41,16.50637801,47.322545,5.64,906.5483,Barley(JAV)
54,53,41,22.28389625,48.66916602,6.01,897.4974715,Barley(JAV)
80,35,50,27.4744777,43.71342,5.489999999999999,965.1456357,Barley(JAV)
55,48,44,14.91274842,46.52260255,5.819999999999999,1032.128776,Barley(JAV)
82,51,44,21.89092086,38.17694889,5.98,948.6513127,Barley(JAV)
64,45,41,27.23694362,24.25841521,5.55,833.5455388,Barley(JAV)
67,46,42,25.01204206,10.58226694,5.75,884.9287937,Barley(JAV)
74,41,40,31.78238137,37.52260962,5.65,971.3106366,Barley(JAV)
58,42,40,30.3813092,30.51987022,5.789999999999999,886.7329278,Barley(JAV)
51,54,42,27.58123466,10.45825485,5.609999999999999,1054.784472,Barley(JAV)
74,35,43,21.33352538,32.71601509,5.659999999999999,897.4132458,Barley(JAV)
64,37,46,29.70194761,45.500108,5.359999999999999,921.2510825,Barley(JAV)
74,37,50,30.14364857,41.21015928,5.89,1025.060905,Barley(JAV)
52,47,43,12.13027642,39.53784666,5.779999999999999,960.4928213,Barley(JAV)
58,44,50,30.8483472,42.16574081,5.22,945.8050638,Barley(JAV)
58,41,42,22.24716315,16.50396036,5.05,1040.607474,Barley(JAV)
71,50,46,20.14968119,10.65761999,5.52,921.2137394,Barley(JAV)
55,50,43,22.80225589,44.32876709,5.409999999999999,809.9544113,Barley(JAV)
53,42,45,19.17982511,20.93348809,5.989999999999999,813.9317079,Barley(JAV)
59,51,48,15.59277059,22.31444192,5.369999999999999,1046.566436,Barley(JAV)
66,50,44,27.07480637,20.47584417,5.079999999999999,1092.66173,Barley(JAV)
76,43,44,30.87896543,33.77474195,5.699999999999999,939.1578803,Barley(JAV)
59,48,48,16.00744036,17.99355571,5.489999999999999,943.7308091,Barley(JAV)
78,48,44,19.65260407,38.59746626,5.02,888.5421109,Barley(JAV)
55,44,45,27.00504944,30.16821065,5.42,807.9284761,Barley(JAV)
69,44,40,26.57225769,10.58604975,5.44,938.5839203,Barley(JAV)
73,43,46,23.59765469,49.00484261,5.43,962.6954378,Barley(JAV)
84,58,43,15.43836782,22.10484194,5.069999999999999,1015.50543,Barley(JAV)
77,50,50,13.87448007,11.19177602,5.56,996.4686255,Barley(JAV)
82,41,41,25.03190472,29.67122323,5.67,834.5541305,Barley(JAV)
62,38,49,22.43126785,44.37414074,5.64,926.4670611,Barley(JAV)
74,57,50,28.47621907,20.35791307,5.05,812.7720417,Barley(JAV)
63,45,41,16.86029653,15.97494771,6.01,840.6151889,Barley(JAV)
80,47,40,21.69766919,24.42121844,5.989999999999999,928.9655685,Barley(JAV)
74,38,50,27.57367943,26.47676665,5.69,1063.413528,Barley(JAV)
81,44,47,23.96288625,38.74471301,5.039999999999999,855.4390196,Barley(JAV)
70,56,41,23.01997556,35.95540578,5.619999999999999,1009.318869,Barley(JAV)
50,40,48,13.78068407,38.41311349,5.68,866.8679506,Barley(JAV)
74,48,43,30.67148888,49.44371372,5.18,922.8850342,Barley(JAV)
78,39,42,25.24602042,27.40846478,5.5,1084.658115,Barley(JAV)
72,56,47,24.14608029,42.74666991,5.489999999999999,1030.060882,Barley(JAV)
89,51,47,15.35508778,37.77006044,5.94,1076.682643,Barley(JAV)
70,56,45,25.79932307,12.93018528,5.029999999999999,869.3245358,Barley(JAV)
85,46,48,23.98227723,20.8256938,5.23,1051.675333,Barley(JAV)
70,52,44,31.05394583,44.23580898,5.76,805.6786552,Barley(JAV)
87,54,40,15.59241789,15.69089014,5.09,1097.834941,Barley(JAV)
68,39,47,12.69056609,36.10771722,5.31,1049.138047,Barley(JAV)
53,52,41,29.02060809,34.36840811,5.88,911.8390516,Barley(JAV)
83,53,44,29.43569505,41.40579636,5.68,898.556197,Barley(JAV)
64,43,42,15.84597561,49.95170416,5.3,837.846884,Barley(JAV)
73,53,47,24.53189234,14.75101211,5.079999999999999,939.5189726,Barley(JAV)
51,40,44,18.41278129,12.1561258,5.449999999999999,1009.710314,Barley(JAV)
65,37,46,22.79909604,20.59162971,5.89,877.6091058,Barley(JAV)
77,42,48,19.09586504,41.74630599,5.1,1056.731987,Barley(JAV)
54,58,49,28.98943282,11.73089248,5.21,853.7738661,Barley(JAV)
81,41,45,30.21530866,34.06783993,5.42,962.5284152,Barley(JAV)
76,45,40,24.5980192,36.63400414,5.5,927.1161301,Barley(JAV)
58,37,49,16.2534882,29.99778106,5.109999999999999,1080.107006,Barley(JAV)
85,44,44,24.12527218,25.83610946,5.8,841.8458567,Barley(JAV)
58,38,47,12.31367857,12.59579762,5.31,1001.680351,Barley(JAV)
57,45,41,12.21734268,42.01340686,5.67,951.8112254,Barley(JAV)
79,51,40,17.49853197,35.6370938,5.71,1017.436151,Barley(JAV)
84,58,45,24.53866996,25.08030829,5.67,985.1895153,Barley(JAV)
77,50,42,22.71962102,30.14939852,5.94,869.3515737,Barley(JAV)
55,49,42,12.17589657,38.8191967,5.48,982.2562541,Barley(JAV)
63,41,48,30.83506756,32.85920321,5.199999999999999,888.341147,Barley(JAV)
90,51,47,15.69411344,35.23114232,5.69,1083.021533,Barley(JAV)
86,45,46,12.82346784,11.28298736,5.56,870.8378658,Barley(JAV)
78,35,45,13.18161755,44.5901453,5.98,836.5993499,Barley(JAV)
78,49,45,14.7092266,49.32193469,5.77,846.2821994,Barley(JAV)
76,49,44,27.34133034,45.4690432,5.859999999999999,968.167881,Barley(JAV)
53,47,46,31.99720148,25.8698288,5.779999999999999,818.743535,Barley(JAV)
55,40,40,17.78159896,29.78919136,5.46,1021.156062,Barley(JAV)
72,45,46,22.62094674,10.70042471,5.3,826.6806151,Barley(JAV)
83,41,41,14.44440221,25.06136823,5.029999999999999,863.067516,Barley(JAV)
56,47,44,17.58307274,10.8288167,5.539999999999999,1032.653765,Barley(JAV)
61,40,40,18.88416698,26.18635091,5.67,878.7560658,Barley(JAV)
62,40,43,15.47512734,43.97660926,5.1,860.0880098,Barley(JAV)
73,46,49,19.95737393,42.3195125,5.029999999999999,870.2419654,Barley(JAV)
80,35,44,23.70282435,34.99794811,5.21,935.355251,Barley(JAV)
71,47,49,27.33616687,22.08642705,6.01,800.0236742,Barley(JAV)
86,48,49,13.85028232,12.12143592,5.529999999999999,1013.810744,Barley(JAV)
89,45,50,30.68245216,21.49791339,5.529999999999999,855.7507492,Barley(JAV)
50,55,50,25.81919056,41.25656873,5.359999999999999,996.1216212,Barley(JAV)
50,43,43,15.84824336,22.42015756,5.81,1013.913429,Barley(JAV)
